fmi,codigo_subasta
001-1020231,UNI-0907-2026
001-1020261,UNI-0907-2026
001-1020276,UNI-0907-2026
001-1028192,UNI-0908-2026
001-1052389,UNI-0138-2026
001-1052449,UNI-0908-2026
001-1086127,UNI-0090-2025
001-1086308,UNI-0090-2025
001-1086507,UNI-0090-2025
001-1101670,UNI-0138-2026
001-1107815,UNI-0483-2026
001-1108091,UNI-0478-2026
001-1121210,UNI-0353-2026
001-1128617,UNI-0483-2026
001-1128810,UNI-0478-2026
001-1179269,UNI-0867-2026
001-1179351,UNI-0867-2026
001-1223271,UNI-0475-2026
001-1223353,UNI-0475-2026
001-1223375,UNI-0475-2026
001-151877,UNI-0326-2026
001-197443,UNI-0015-2025
001-204535,UNI-0916-2026
001-210231,UNI-0868-2026
001-210246,UNI-0868-2026
001-232068,UNI-0129-2026
001-274897,UNI-0394-2026
001-274898,UNI-0394-2026
001-310002,UNI-0015-2025
001-311332,UNI-0584-2026
001-312818,UNI-0398-2026
001-312837,UNI-0398-2026
001-312839,UNI-0398-2026
001-312848,UNI-0398-2026
001-312860,UNI-0398-2026
001-342205,UNI-0015-2025
001-349611,UNI-0678-2026
001-349637,UNI-0678-2026
001-36672,UNI-0685-2026
001-439870,UNI-0320-2026
001-469617,UNI-0590-2026
001-469618,UNI-0590-2026
001-490161,UNI-0789-2026
001-496730,UNI-0588-2026
001-516459,UNI-0381-2026
001-518550,UNI-0407-2026
001-518551,UNI-0407-2026
001-518552,UNI-0407-2026
001-518553,UNI-0407-2026
001-533419,UNI-0864-2026
001-533428,UNI-0864-2026
001-533429,UNI-0864-2026
001-534833,UNI-0870-2026
001-55237,UNI-0590-2026
001-637171,UNI-0874-2026
001-637210,UNI-0874-2026
001-650893,UNI-0784-2026
001-800632,UNI-0860-2026
001-800717,UNI-0860-2026
001-800776,UNI-0860-2026
001-810576,UNI-0357-2026
001-810577,UNI-0357-2026
001-810725,UNI-0357-2026
001-826815,UNI-0859-2026
001-828534,UNI-0357-2026
001-828631,UNI-0357-2026
001-839124,UNI-0859-2026
001-841587,UNI-0169-2026
001-841588,UNI-0169-2026
001-841589,UNI-0169-2026
001-853796,UNI-0875-2026
001-853837,UNI-0875-2026
001-861435,UNI-0358-2026
001-861454,UNI-0358-2026
001-861455,UNI-0358-2026
001-861478,UNI-0358-2026
001-861479,UNI-0358-2026
001-863729,UNI-0067-2025
001-863755,UNI-0067-2025
001-878886,UNI-0139-2026
001-878984,UNI-0139-2026
001-882060,UNI-0317-2026
001-897735,UNI-0493-2026
001-897781,UNI-0493-2026
001-897882,UNI-0493-2026
001-903210,UNI-0382-2026
001-903211,UNI-0382-2026
001-903212,UNI-0382-2026
001-948530,UNI-0873-2026
001-948531,UNI-0873-2026
001-948532,UNI-0873-2026
001-948610,UNI-0873-2026
001-948611,UNI-0873-2026
01N-28652,UNI-0318-2026
01N-353938,UNI-0742-2026
01N-465835,UNI-0742-2026
01N-475567,UNI-0628-2026
01N-5081383,UNI-0814-2026
01N-5081434,UNI-0814-2026
01N-5188979,UNI-0628-2026
01N-5387297,UNI-0876-2026
01N-5387577,UNI-0876-2026
01N-7240,UNI-0318-2026
01N-91296,UNI-0940-2026
020-20456,UNI-0686-2026
034-67292,UNI-0603-2026
034-67293,UNI-0603-2026
034-67294,UNI-0603-2026
034-67398,UNI-0603-2026
040-139676,UNI-0421-2026
040-139677,UNI-0421-2026
040-139718,UNI-0400-2026
040-139719,UNI-0400-2026
040-139767,UNI-0421-2026
040-139768,UNI-0421-2026
040-139769,UNI-0421-2026
040-238956,UNI-0082-2025
040-278077,UNI-0783-2026
040-278078,UNI-0783-2026
040-278104,UNI-0783-2026
040-312425,UNI-0352-2026
040-53818,UNI-0612-2026
060-110815,UNI-0703-2026
060-110821,UNI-0703-2026
060-161142,UNI-0855-2026
060-217643,UNI-0466-2026
064-28867,UNI-0473-2026
064-28868,UNI-0473-2026
072-32084,UNI-0580-2026
072-45171,UNI-0580-2026
072-5897,UNI-0580-2026
079-21365,UNI-0682-2026
079-2576,UNI-0682-2026
079-29163,UNI-0682-2026
079-29450,UNI-0682-2026
080-104479,UNI-0586-2026
080-122059,UNI-0500-2026
080-26084,UNI-0657-2026
080-26085,UNI-0657-2026
080-41849,UNI-0585-2026
080-41850,UNI-0585-2026
080-58289,UNI-0634-2026
114-16640,UNI-0496-2026
114-16641,UNI-0496-2026
140-118933,UNI-0489-2026
140-118952,UNI-0489-2026
157-37936,UNI-0664-2026
157-46843,UNI-0660-2026
157-50452,UNI-0912-2026
157-50453,UNI-0912-2026
210-42954,UNI-0609-2026
210-42989,UNI-0609-2026
230-63380,UNI-0819-2026
230-63381,UNI-0819-2026
232-32964,UNI-0093-2025
232-38326,UNI-0093-2025
232-38327,UNI-0093-2025
260-15131,UNI-0811-2026
290-116360,UNI-0492-2026
290-116361,UNI-0492-2026
290-116406,UNI-0492-2026
290-94886,UNI-0366-2026
294-143,UNI-0624-2026
294-148,UNI-0624-2026
324-27344,UNI-0760-2026
324-27427,UNI-0760-2026
340-108177,UNI-0602-2026
340-108198,UNI-0602-2026
370-124867,UNI-0152-2026
370-140568,UNI-0629-2026
370-354599,UNI-0050-2025
370-363416,UNI-0092-2025
370-363424,UNI-0002-2025
370-363442,UNI-0092-2025
370-363450,UNI-0002-2025
370-364299,UNI-0777-2026
370-401398,UNI-0157-2026
370-483809,UNI-0706-2026
370-554162,UNI-0766-2026
370-554175,UNI-0766-2026
370-554178,UNI-0766-2026
370-554233,UNI-0766-2026
370-554261,UNI-0766-2026
370-573144,UNI-0406-2026
370-712546,UNI-0022-2025
370-712680,UNI-0022-2025
370-736526,UNI-0739-2026
370-736579,UNI-0099-2025
370-748113,UNI-0448-2026
373-23372,UNI-0817-2026
373-81786,UNI-0817-2026
384-10894,UNI-0738-2026
384-11185,UNI-0738-2026
384-11186,UNI-0738-2026
384-11187,UNI-0738-2026
384-1153,UNI-0659-2026
384-1873,UNI-0659-2026
384-87101,UNI-0621-2026
440-71948,UNI-0103-2025
440-71949,UNI-0103-2025
50C-1730198,UNI-0437-2026
50C-1842347,UNI-0637-2026
50C-865665,UNI-0444-2026
50C-962760,UNI-0009-2025
50C-962761,UNI-0009-2025
50N-20129645,UNI-0756-2026
50N-20138839,UNI-0124-2026
50N-20138852,UNI-0124-2026
50N-20138857,UNI-0124-2026
50N-20161609,UNI-0332-2026
50N-20170418,UNI-0843-2026
50N-20477130,UNI-0638-2026
50N-20490730,UNI-0137-2026
50N-20490801,UNI-0137-2026
50N-534743,UNI-0136-2026
50N-535270,UNI-0136-2026
50N-953291,UNI-0805-2026
50N-977906,UNI-0446-2026
50S-40252346,UNI-0345-2026
