fmi,enlace_inmueble
001-1020231,https://www.activosporcolombia.com/es/unidad-inmobiliaria/907/apartamento-en-gestion-medellin-antioquia
001-1020261,https://www.activosporcolombia.com/es/unidad-inmobiliaria/907/apartamento-en-gestion-medellin-antioquia
001-1020276,https://www.activosporcolombia.com/es/unidad-inmobiliaria/907/apartamento-en-gestion-medellin-antioquia
001-1027103,https://www.activosporcolombia.com/es/inmueble/35386/apartamento-en-venta-envigado-antioquia
001-1028192,https://www.activosporcolombia.com/es/unidad-inmobiliaria/908/apartamento-en-gestion-medellin-antioquia
001-1052389,https://www.activosporcolombia.com/es/unidad-inmobiliaria/138/apartamento-y-garaje-en-venta-medellin-antioquia
001-1052449,https://www.activosporcolombia.com/es/unidad-inmobiliaria/908/apartamento-en-gestion-medellin-antioquia
001-1064589,https://www.activosporcolombia.com/es/inmueble/26307/siute-en-venta-medellin-antioquia
001-1077751,https://www.activosporcolombia.com/es/inmueble/33316/apartamento-en-venta-medellin-antioquia
001-1086127,https://www.activosporcolombia.com/es/unidad-inmobiliaria/90/apartamento-con-garaje-y-deposito-en-venta-medellin-antioquia
001-1086308,https://www.activosporcolombia.com/es/unidad-inmobiliaria/90/apartamento-con-garaje-y-deposito-en-venta-medellin-antioquia
001-1086507,https://www.activosporcolombia.com/es/unidad-inmobiliaria/90/apartamento-con-garaje-y-deposito-en-venta-medellin-antioquia
001-1101670,https://www.activosporcolombia.com/es/unidad-inmobiliaria/138/apartamento-y-garaje-en-venta-medellin-antioquia
001-1107815,https://www.activosporcolombia.com/es/unidad-inmobiliaria/483/apartamento-en-gestion-medellin-antioquia
001-1108091,https://www.activosporcolombia.com/es/unidad-inmobiliaria/478/apartamento-en-venta-medellin
001-1121210,https://www.activosporcolombia.com/es/unidad-inmobiliaria/354/apartamento-en-venta-medellin
001-1128617,https://www.activosporcolombia.com/es/unidad-inmobiliaria/483/apartamento-en-gestion-medellin-antioquia
001-1128810,https://www.activosporcolombia.com/es/unidad-inmobiliaria/478/apartamento-en-venta-medellin
001-1160626,https://www.activosporcolombia.com/es/inmueble/28292/kr-76-41-31-ap-201-ed-laurel-real
