fmi,estado,enlace
001-1020192,no_publicado,
001-1020193,no_publicado,
001-1020204,no_publicado,
001-1020205,no_publicado,
001-1020206,no_publicado,
001-1020207,no_publicado,
001-1020208,no_publicado,
001-1020209,no_publicado,
001-1020210,no_publicado,
001-1020211,no_publicado,
001-1020214,no_publicado,
001-1020231,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/907/apartamento-en-gestion-medellin-antioquia
001-1020261,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/907/apartamento-en-gestion-medellin-antioquia
001-1020276,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/907/apartamento-en-gestion-medellin-antioquia
001-1027103,encontrado,https://www.activosporcolombia.com/es/inmueble/35386/apartamento-en-venta-envigado-antioquia
001-1028192,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/908/apartamento-en-gestion-medellin-antioquia
001-1040449,no_publicado,
001-1041891,no_publicado,
001-1041892,no_publicado,
001-1041893,no_publicado,
001-1041894,no_publicado,
001-1041895,no_publicado,
001-1063892,no_publicado,
001-1084486,no_publicado,
001-1063893,no_publicado,
001-1052389,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/138/apartamento-y-garaje-en-venta-medellin-antioquia
001-1092495,no_publicado,
001-1064589,encontrado,https://www.activosporcolombia.com/es/inmueble/26307/siute-en-venta-medellin-antioquia
001-1086127,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/90/apartamento-con-garaje-y-deposito-en-venta-medellin-antioquia
001-1077751,encontrado,https://www.activosporcolombia.com/es/inmueble/33316/apartamento-en-venta-medellin-antioquia
001-1052449,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/908/apartamento-en-gestion-medellin-antioquia
001-1086308,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/90/apartamento-con-garaje-y-deposito-en-venta-medellin-antioquia
001-1086507,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/90/apartamento-con-garaje-y-deposito-en-venta-medellin-antioquia
001-1101670,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/138/apartamento-y-garaje-en-venta-medellin-antioquia
001-1117318,no_publicado,
001-1117682,no_publicado,
001-1117301,no_publicado,
001-1117668,no_publicado,
001-1117817,no_publicado,
001-1117806,no_publicado,
001-1107815,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/483/apartamento-en-gestion-medellin-antioquia
001-1108091,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/478/apartamento-en-venta-medellin
001-113550,no_publicado,
001-11370,no_publicado,
001-11392,no_publicado,
001-1128810,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/478/apartamento-en-venta-medellin
001-1128617,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/483/apartamento-en-gestion-medellin-antioquia
001-1160626,encontrado,https://www.activosporcolombia.com/es/inmueble/28292/kr-76-41-31-ap-201-ed-laurel-real
001-1121210,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/354/apartamento-en-venta-medellin
001-1179269,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/867/apartamento-en-gestion-medellin-antioquia
001-1167532,encontrado,https://www.activosporcolombia.com/es/inmueble/2635/casa-en-gestion-envigado-antioquia
001-1165695,encontrado,https://www.activosporcolombia.com/es/inmueble/467/avaluo-en-gestion-medellin-antioquia
001-1211714,no_publicado,
001-1204710,no_publicado,
001-1211727,no_publicado,
001-1179351,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/867/apartamento-en-gestion-medellin-antioquia
001-1211761,no_publicado,
001-121581,no_publicado,
001-123333,no_publicado,
001-1237827,no_publicado,
001-1223271,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/475/apartamento-en-gestion-medellin-antioquia
001-1223353,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/475/apartamento-en-gestion-medellin-antioquia
001-1237804,no_publicado,
001-1204602,encontrado,https://www.activosporcolombia.com/es/inmueble/23046/kr-84-f-3d-150-ap-1226-co-aviva-ph
001-1223375,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/475/apartamento-en-gestion-medellin-antioquia
001-1238130,no_publicado,
